Game,Date,A,B,C,D,E,F
534,15/06/2019,2,3,9,29,32,37
535,19/06/2019,1,2,7,10,17,19
536,22/06/2019,2,3,13,16,28,30
537,26/06/2019,5,6,7,17,21,23
538,29/06/2019,9,23,32,37,38,40
539,03/07/2019,3,15,20,25,38,40
540,06/07/2019,9,27,29,30,32,37
541,10/07/2019,12,19,29,33,34,39
542,13/07/2019,2,21,29,31,34,35
543,17/07/2019,8,10,11,22,35,39
544,20/07/2019,1,7,9,12,20,27
545,24/07/2019,8,10,16,21,29,38
546,27/07/2019,1,11,12,21,24,38
547,31/07/2019,7,13,14,26,29,38
548,03/08/2019,5,16,24,31,33,35
549,07/08/2019,6,10,14,26,35,38
550,10/08/2019,1,8,9,21,28,31
551,14/08/2019,1,2,10,27,34,37
552,17/08/2019,1,4,20,23,29,34
553,21/08/2019,2,4,18,21,28,39
554,24/08/2019,2,8,14,24,34,36
555,28/08/2019,2,3,21,22,26,29
556,31/08/2019,6,11,18,20,22,31
557,04/09/2019,9,11,12,23,33,39
558,07/09/2019,3,12,15,23,25,36
559,11/09/2019,14,21,23,27,30,38
560,14/09/2019,6,10,17,22,23,34
561,18/09/2019,12,15,20,26,28,39
562,21/09/2019,4,12,26,31,34,37
563,25/09/2019,4,6,10,25,31,32
564,28/09/2019,2,16,17,26,34,38
565,02/10/2019,5,21,26,28,31,37
566,05/10/2019,11,14,15,23,30,40
567,09/10/2019,5,19,20,27,30,37
568,12/10/2019,2,4,6,7,10,37
569,16/10/2019,8,9,12,31,33,34
570,19/10/2019,19,24,25,32,35,39
571,23/10/2019,1,7,9,20,21,24
572,26/10/2019,1,6,8,10,19,27
573,30/10/2019,7,11,16,30,31,34
574,02/11/2019,4,5,6,9,20,32
575,06/11/2019,2,6,7,12,15,38
576,09/11/2019,4,5,11,13,36,40
577,13/11/2019,3,8,10,25,38,40
578,16/11/2019,14,17,18,23,26,30
579,20/11/2019,12,13,16,17,19,39
580,23/11/2019,10,16,23,26,30,33
581,27/11/2019,6,8,15,20,22,25
582,30/11/2019,2,5,8,9,16,22
583,04/12/2019,2,5,8,11,15,26
584,07/12/2019,2,11,12,19,20,32
585,11/12/2019,3,4,10,29,33,37
586,14/12/2019,2,4,17,27,28,38
587,18/12/2019,8,9,13,20,25,30
588,21/12/2019,5,10,11,15,23,31
589,25/12/2019,1,12,17,22,24,35
590,28/12/2019,14,17,18,22,37,39
591,01/01/2020,1,11,20,28,30,36
592,04/01/2020,3,5,13,34,36,39
593,08/01/2020,5,14,21,32,34,38
594,11/01/2020,1,6,8,16,18,23
595,15/01/2020,1,9,13,17,20,39
596,18/01/2020,2,5,26,27,30,35
597,22/01/2020,1,4,10,18,27,29
598,25/01/2020,18,21,25,36,38,40
599,29/01/2020,6,7,10,15,18,37
600,01/02/2020,3,13,15,25,26,37
601,05/02/2020,3,4,5,9,11,28
602,08/02/2020,2,9,10,12,14,29
603,12/02/2020,1,18,26,29,36,40
604,15/02/2020,6,11,16,29,32,39
605,19/02/2020,20,32,33,35,37,39
606,22/02/2020,3,16,22,24,29,35
607,26/02/2020,1,20,28,32,34,40
608,29/02/2020,3,4,12,13,22,27
609,04/03/2020,3,8,10,31,34,36
610,07/03/2020,8,15,27,29,30,35
611,11/03/2020,6,8,12,16,25,27
612,14/03/2020,1,3,7,26,36,37
613,18/03/2020,3,4,6,17,29,30
614,06/06/2020,7,8,14,18,21,37
615,10/06/2020,1,16,22,29,30,34
616,13/06/2020,3,6,10,11,18,31
617,17/06/2020,8,14,18,30,33,38
618,20/06/2020,3,5,10,19,22,24
619,24/06/2020,10,15,21,22,28,38
620,27/06/2020,3,4,28,31,32,36
621,01/07/2020,3,12,15,25,28,39
622,04/07/2020,15,17,21,24,31,33
623,08/07/2020,4,5,14,18,28,34
624,11/07/2020,9,17,22,28,32,39
625,15/07/2020,2,13,21,26,32,37
626,18/07/2020,2,7,24,25,29,35
627,22/07/2020,4,10,13,15,21,22
628,25/07/2020,5,15,16,20,34,40
629,29/07/2020,9,11,18,25,28,38
630,01/08/2020,3,10,12,18,29,34
631,05/08/2020,4,8,12,21,22,24
632,08/08/2020,1,17,20,25,26,29
633,12/08/2020,5,9,12,13,20,24
634,15/08/2020,3,11,19,26,29,37
635,19/08/2020,3,14,16,23,35,38
636,22/08/2020,1,7,16,21,23,38
637,26/08/2020,12,19,22,29,32,36
638,29/08/2020,6,13,15,18,22,27
639,02/09/2020,9,11,16,27,28,39
640,05/09/2020,1,2,5,25,30,32
641,09/09/2020,3,7,14,16,22,38
642,12/09/2020,1,5,18,28,36,37
643,16/09/2020,5,7,8,11,14,22
644,19/09/2020,3,7,11,21,24,31
645,23/09/2020,4,14,16,34,36,38
646,26/09/2020,1,10,12,20,26,37
647,30/09/2020,18,23,24,26,36,40
648,03/10/2020,7,9,19,23,36,40
649,07/10/2020,17,21,22,25,29,32
650,10/10/2020,1,11,19,31,36,38
651,14/10/2020,10,13,15,26,35,38
652,17/10/2020,2,27,28,30,39,40
653,21/10/2020,11,16,19,25,38,39
654,24/10/2020,10,15,16,22,25,30
655,28/10/2020,12,16,21,22,27,38
656,31/10/2020,10,11,14,30,34,36
657,04/11/2020,8,11,18,19,23,27
658,07/11/2020,2,8,11,15,23,40
659,11/11/2020,9,23,27,28,31,33
660,14/11/2020,2,6,26,27,28,35
661,18/11/2020,2,11,19,33,34,37
662,21/11/2020,10,23,25,31,33,40
663,25/11/2020,16,17,21,36,37,39
664,28/11/2020,19,21,31,32,34,38
